"personId","displayName","cardCount","cardIds","decades","teams","positions","ageVariantsNeeded","referenceTarget","referenceFolder","referenceStatus","identityMasterStatus","cardPortraitStatus","qaStatus","notes"
"ace-bailey","Ace Bailey","1","acebailey-20s","2020s","Jazz","SF|PF","1","6-8 identity references","portrait-sources/ace-bailey","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"adrian-dantley","Adrian Dantley","1","dantley-80s","1980s","Jazz","SF|SG","1","6-8 identity references","portrait-sources/adrian-dantley","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"al-horford","Al Horford","1","al-10s","2010s","Hawks|Celtics","PF|C","1","6-8 identity references","portrait-sources/al-horford","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"alex-english","Alex English","1","alex-80s","1980s","Nuggets","SF|SG","1","6-8 identity references","portrait-sources/alex-english","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"allen-iverson","Allen Iverson","1","ai-00s","2000s","76ers","PG|SG","1","6-8 identity references","portrait-sources/allen-iverson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"alonzo-mourning","Alonzo Mourning","1","alonzo-90s","1990s","Heat","C","1","6-8 identity references","portrait-sources/alonzo-mourning","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"alperen-sengun","Alperen Sengun","1","sengun-20s","2020s","Rockets","C|PF","1","6-8 identity references","portrait-sources/alperen-sengun","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"amar-e-stoudemire","Amar'e Stoudemire","1","amare-00s","2000s","Suns","PF|C","1","6-8 identity references","portrait-sources/amar-e-stoudemire","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"andre-drummond","Andre Drummond","1","drummond-2010s","2010s","Pistons","C","1","6-8 identity references","portrait-sources/andre-drummond","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"andre-miller","Andre Miller","1","miller-00s","2000s","Cavaliers|76ers","PG","1","6-8 identity references","portrait-sources/andre-miller","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"andrei-kirilenko","Andrei Kirilenko","1","ak47-2ks","2000s","Jazz","SF|PF","1","6-8 identity references","portrait-sources/andrei-kirilenko","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"andrew-toney","Andrew Toney","1","toney-80s","1980s","76ers","SG|PG","1","6-8 identity references","portrait-sources/andrew-toney","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"antawn-jamison","Antawn Jamison","2","antawn-90s|jamison-00s","1990s|2000s","Warriors|Mavericks|Wizards","SF|PF","2","8-12 total plus decade-specific images","portrait-sources/antawn-jamison","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"anthony-davis","Anthony Davis","2","ad-10s|ad-20s","2010s|2020s","Pelicans|Lakers","PF|C","2","8-12 total plus decade-specific images","portrait-sources/anthony-davis","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"anthony-edwards","Anthony Edwards","1","ant-20s","2020s","Timberwolves","SG|SF","1","6-8 identity references","portrait-sources/anthony-edwards","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"archie-clark","Archie Clark","1","archie-60s","1960s","Lakers|76ers","PG|SG","1","6-8 identity references","portrait-sources/archie-clark","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"artis-gilmore","Artis Gilmore","1","artis-70s","1970s","Bulls","C","1","6-8 identity references","portrait-sources/artis-gilmore","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"austin-reaves","Austin Reaves","1","reaves-20s","2020s","Lakers","SG|PG","1","6-8 identity references","portrait-sources/austin-reaves","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"avery-johnson","Avery Johnson","1","avery-90s","1990s","Spurs","PG","1","6-8 identity references","portrait-sources/avery-johnson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"bailey-howell","Bailey Howell","1","bailey-60s","1960s","Pistons|Celtics","SF|PF","1","6-8 identity references","portrait-sources/bailey-howell","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"bam-adebayo","Bam Adebayo","1","bam-20s","2020s","Heat","C|PF","1","6-8 identity references","portrait-sources/bam-adebayo","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"baron-davis","Baron Davis","1","baron-00s","2000s","Hornets|Warriors","PG|SG","1","6-8 identity references","portrait-sources/baron-davis","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"ben-wallace","Ben Wallace","1","ben-00s","2000s","Pistons","C|PF","1","6-8 identity references","portrait-sources/ben-wallace","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"benoit-benjamin","Benoit Benjamin","1","benoit-80s","1980s","Clippers","C","1","6-8 identity references","portrait-sources/benoit-benjamin","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
